,a,1,啊,ā,interjection of surprise; Ah!; Oh!
,a,2,啊,á,interjection expressing doubt or requiring answer; Eh?; what?
b,a,1,八,bā,eight
b,a,2,拔,bá,to pull up
b,a,3,把,bǎ,to hold
b,a,4,坝,bà,dam
p,a,1,葩,pā,corolla of flower
p,a,2,爬,pá,to climb
p,a,4,怕,pà,to be afraid
m,a,1,妈,mā,mom
m,a,2,蟆,má,toad
m,a,3,马,mǎ,horse
m,a,4,蚂,mà,grasshopper
f,a,1,发,fā,to show (one's feeling)
f,a,2,罚,fá,to punish
f,a,3,法,fǎ,law
f,a,4,珐,fà,enamel ware
d,a,1,搭,dā,to put up;
d,a,2,答,dá,to reply
d,a,3,打,dǎ,to beat
d,a,4,大,dà,big
t,a,1,他,tā,he or him
t,a,2,蹹,tá,to tread on
t,a,3,塔,tǎ,pagoda
t,a,4,嚃,tà,to drink
n,a,2,拿,ná,to hold
n,a,3,哪,nǎ,how; which; where
n,a,4,那,nà,that; those;
l,a,1,拉,lā,to pull
l,a,2,剌,lá,to slash
l,a,4,辣,là,hot (spicy)
g,a,1,嘎,gā,cackling sound
g,a,2,轧,gá,to crush together (in a crowd)
g,a,3,尕,gǎ,little
g,a,4,尬,gà,embarrassing
k,a,1,咖,kā,class; grade
k,a,3,卡,kǎ,card (loanword)
k,a,4,髂,kà,ilium; outermost bone of the pelvic girdle
h,a,2,蛤,há,frog
h,a,3,哈,hǎ,a Pekinese
z,a,1,匝,zā,circuit
z,a,2,砸,zá,to smash
c,a,1,擦,cā,to wipe
c,a,3,礤,cǎ,shredder
c,a,4,䵽,cà,sound of drums
s,a,1,撒,sā,to let go
s,a,3,洒,sǎ,to sprinkle
s,a,4,卅,sà,thirty
zh,a,1,扎,zhā,to prick
zh,a,2,闸,zhá,gear
zh,a,3,眨,zhǎ,to blink
zh,a,4,炸,zhà,to burst
ch,a,1,插,chā,to insert
ch,a,2,查,chá,to research
ch,a,3,叉,chǎ,to diverge
ch,a,4,侘,chà,boast
sh,a,1,杀,shā,to kill
sh,a,3,傻,shǎ,foolish
sh,a,4,嗄,shà,hoarse
,ai,1,哎,āi,hey!
,ai,2,啀,ái,to growl (of dog)
,ai,3,矮,ǎi,low; short (in length)
,ai,4,唉,ài,alas
b,ai,1,掰,bāi,to break off or break open something with one's hands
b,ai,2,白,bái,white
b,ai,3,百,bǎi,hundred
b,ai,4,败,bài,to defeat
p,ai,1,拍,pāi,to pat
p,ai,2,排,pái,a row; a line
p,ai,4,湃,pài,sound of waves
m,ai,2,埋,mái,to bury
m,ai,3,买,mǎi,to buy; to purchase
m,ai,4,卖,mài,to sell
d,ai,1,待,dāi,to stay
d,ai,3,歹,dǎi,bad
d,ai,4,戴,dài,"to put on or wear (glasses, hat, gloves etc)"
t,ai,1,呔,tāi,tie
t,ai,2,抬,tái,to lift
t,ai,3,㘆,tǎi,to laugh at
t,ai,4,太,tài,highest
n,ai,2,㜨,nái,beautiful; pretty
n,ai,3,奶,nǎi,breast
n,ai,4,耐,nài,to endure
l,ai,2,来,lái,to come
l,ai,3,䂾,lǎi,to polish
l,ai,4,赖,lài,to depend on
g,ai,1,该,gāi,should; ought to
g,ai,3,改,gǎi,to change
g,ai,4,盖,gài,lid; top
k,ai,1,开,kāi,to open
k,ai,3,凯,kǎi,triumphant
k,ai,4,愒,kài,to desire
h,ai,1,咳,hāi,sound of sighing
